epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.495,1.25998,0.85152,1.43736,0.91635,0.95,0.93839,0.61723,1.34568,0.61549,1.7108,0.000539275,0.000539275,0.000539275
43,274.561,1.26952,0.91427,1.46917,0.90124,0.95,0.93806,0.64168,1.42445,0.66247,1.75482,0.000511769,0.000511769,0.000511769
44,280.654,1.2866,0.86454,1.40446,0.91886,0.89853,0.92619,0.65085,1.29401,0.66527,1.58607,0.000484263,0.000484263,0.000484263
45,287.013,1.26512,0.81264,1.43966,0.92595,0.88948,0.91359,0.66937,1.23504,0.66966,1.60482,0.000456758,0.000456758,0.000456758
46,292.905,1.23377,0.82388,1.41598,0.91822,0.9,0.92087,0.63552,1.27158,0.61425,1.70651,0.000429253,0.000429253,0.000429253
47,298.975,1.21078,0.7995,1.37103,0.93773,0.90865,0.94399,0.62518,1.19642,0.59375,1.60423,0.000401747,0.000401747,0.000401747
48,305.208,1.1338,0.76376,1.36403,0.93536,0.9,0.93298,0.64441,1.24425,0.59445,1.62742,0.000374242,0.000374242,0.000374242
49,311.361,1.21292,0.78731,1.35943,0.90107,0.9,0.93468,0.63581,1.28997,0.6699,1.69574,0.000346736,0.000346736,0.000346736
50,318.337,1.20873,0.81036,1.40603,0.90104,0.89862,0.92957,0.63539,1.23438,0.68226,1.62264,0.000319231,0.000319231,0.000319231
51,330.17,1.12838,0.65932,1.38321,0.9119,0.89688,0.92718,0.63321,1.27143,0.64807,1.62767,0.000291725,0.000291725,0.000291725
52,337.144,1.09098,0.64814,1.35943,0.93898,0.85,0.92417,0.64882,1.3327,0.66426,1.60607,0.00026422,0.00026422,0.00026422
53,343.463,1.02581,0.58988,1.31389,0.91257,0.89586,0.94618,0.63336,1.36348,0.63665,1.64849,0.000236714,0.000236714,0.000236714
54,349.586,1.04087,0.59816,1.34183,0.91661,0.89661,0.94778,0.63492,1.41076,0.6625,1.7151,0.000209209,0.000209209,0.000209209
55,355.427,0.98607,0.56778,1.38482,0.92011,0.9,0.94406,0.63293,1.37686,0.67615,1.6779,0.000181703,0.000181703,0.000181703
56,361.651,1.01263,0.5916,1.33332,0.9208,0.9,0.94329,0.6336,1.33554,0.69819,1.6693,0.000154198,0.000154198,0.000154198
57,367.538,1.01805,0.57419,1.33453,0.92239,0.9,0.93424,0.64368,1.28386,0.6734,1.62425,0.000126692,0.000126692,0.000126692
58,373.761,0.96488,0.54838,1.29466,0.92307,0.9,0.92265,0.63402,1.27715,0.6643,1.6334,9.91865e-05,9.91865e-05,9.91865e-05
59,379.932,0.96179,0.54334,1.3444,0.92336,0.9,0.90771,0.66122,1.26245,0.68161,1.63607,7.1681e-05,7.1681e-05,7.1681e-05
60,385.901,0.96502,0.53016,1.29252,0.92359,0.9,0.92271,0.66854,1.25689,0.7152,1.64035,4.41755e-05,4.41755e-05,4.41755e-05
